Lote,Fecha Compra,Proveedor,Producto,Categoría,Cantidad,Unidad,Precio Unitario,Valor Total
"Sin Lote","2026-01-17","Dr. Pablo","Cerveza Poker 330cm3","cerveza",7,"unidad",4500,31500
"Sin Lote","2026-01-17","Dr. Pablo","Cigarrillo","otros",1,"unidad",1000,1000
"Sin Lote","2026-01-17","Dr. Pablo","Hervido de fruta de temporada ","coctel",2,"unidad",5000,10000
"Sin Lote","2026-01-17","Dr. Pablo","Shot Tequila Olmeca","tequila",4,"unidad",12000,48000
"TIENDAESQUIN-20260107-001","2026-01-07","Tienda esquina ","Leche Colácteos ","insumos para café",1,"Unidad",5000,5000
"TIENDAESQUIN-20260108-001","2026-01-08","Tienda esquina","Fabuloso","productos de limpieza / bioseguridad",1,"Unidad",3000,3000
"TIENDAESQUIN-20260108-001","2026-01-08","Tienda esquina","Limpido","productos de limpieza / bioseguridad",1,"Unidad",2000,2000
"TIENDAESQUIN-20260108-001","2026-01-08","Tienda esquina","Papel higiénico","productos de limpieza / bioseguridad",1,"Unidad",2000,2000
"TIENDAESQUINA-20260106-001","2026-01-06","La tienda de la esquina","Pulpas de fruta para cócteles","siropes y bases",1,"Unidad",13000,13000
"TIENDAESQUINA-20260106-001","2026-01-06","La tienda de la esquina","Queso mozzarella","insumos para café",1,"Unidad",7000,7000
